,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,Unnamed: 0,whole_tweet,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url,jpg_url,predicted_breed
23,886736880519319552,2017-07-16 23:58:41 +0000,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff",13,10,Mingus,26,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help… https://t.co/RipKYZ0T1u",11886,3238,7437146,10,Twitter for iPhone,Original tweet,https://t.co/RipKYZ0T1u,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,kuvasz
24,886366144734445568,2017-07-15 23:25:31 +0000,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe,12,10,Roscoe,28,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 dee… https://t.co/iIu3AF8IWH,20896,3156,7437146,10,Twitter for iPhone,Original tweet,https://t.co/iIu3AF8IWH,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,french bulldog
25,886258384151887873,2017-07-15 16:17:19 +0000,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles,13,10,Waffles,30,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,27621,6192,7437146,10,Twitter for iPhone,Original tweet,https://t.co/xZDA9Qsq1O,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,pug
26,885984800019947520,2017-07-14 22:10:11 +0000,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution,12,10,Jimbo,32,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 1… https://t.co/lWeeGBBXmE,32242,6706,7437146,10,Twitter for iPhone,Original tweet,https://t.co/lWeeGBBXmE,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,blenheim spaniel
27,885528943205470208,2017-07-13 15:58:47 +0000,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly,13,10,Maisey,33,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,35509,6339,7437146,10,Twitter for iPhone,Original tweet,https://t.co/tp1kQ8i9JF,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,pug
29,884925521741709313,2017-07-12 00:01:00 +0000,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl",12,10,Earl,37,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",76488,18065,7437146,10,Twitter for iPhone,Original tweet,https://t.co/MYJvdlNRVa,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,italian greyhound
30,884876753390489601,2017-07-11 20:47:12 +0000,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola,13,10,Lola,38,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great L… https://t.co/DbNzLkDIxh,27552,5587,7437146,10,Twitter for iPhone,Original tweet,https://t.co/DbNzLkDIxh,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,chow
31,884562892145688576,2017-07-11 00:00:02 +0000,This is Kevin. He's just so happy. 13/10 what is your secret Kevin,13,10,Kevin,39,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,23995,4687,7437146,10,Twitter for iPhone,Original tweet,https://t.co/1r4MFCbCX5,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,pug
34,883838122936631299,2017-07-09 00:00:04 +0000,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy,12,10,Noah,43,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup… https://t.co/zrf7IQnlHI,21626,3404,7437146,10,Twitter for iPhone,Original tweet,https://t.co/zrf7IQnlHI,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,doberman
35,883482846933004288,2017-07-08 00:28:19 +0000,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10",5,10,Bella,44,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 https://t.co/qjrljjt948",45343,9826,7437146,10,Twitter for iPhone,Original tweet,https://t.co/qjrljjt948,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,golden retriever
38,882992080364220416,2017-07-06 15:58:11 +0000,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy,13,10,Rusty,47,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy https://t.co/tyER0KpdXj,23661,3869,7437146,10,Twitter for iPhone,Original tweet,https://t.co/tyER0KpdXj,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,eskimo dog
39,882762694511734784,2017-07-06 00:46:41 +0000,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl,12,10,Gus,48,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl https://t.co/D43I96SlVu,27951,4855,7437146,10,Twitter for iPhone,Original tweet,https://t.co/D43I96SlVu,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,labrador retriever
40,882627270321602560,2017-07-05 15:48:34 +0000,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi),13,10,Stanley,49,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (… https://t.co/KoU1kxPBcn,27565,6006,7437147,10,Twitter for iPhone,Original tweet,https://t.co/KoU1kxPBcn,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,pembroke
41,882268110199369728,2017-07-04 16:01:23 +0000,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸,13,10,Alfy,50,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 https://t.co/fYP5RlutfA,44380,11451,7437147,10,Twitter for iPhone,Original tweet,https://t.co/fYP5RlutfA,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,golden retriever
42,881906580714921986,2017-07-03 16:04:48 +0000,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable,12,10,Rey,52,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable https://t.co/503CgWbhxQ,24008,3352,7437147,10,Twitter for iPhone,Original tweet,https://t.co/503CgWbhxQ,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,weimaraner
43,881666595344535552,2017-07-03 00:11:11 +0000,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely,13,10,Gary,53,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely https://t.co/7CSWCl8I6s,49941,10535,7437147,10,Twitter for iPhone,Original tweet,https://t.co/7CSWCl8I6s,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,saluki
46,880465832366813184,2017-06-29 16:39:47 +0000,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop,12,10,Bella,59,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop https://t.co/4VsFysDmiw,28177,6204,7437148,10,Twitter for iPhone,Original tweet,https://t.co/4VsFysDmiw,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,golden retriever
49,879862464715927552,2017-06-28 00:42:13 +0000,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10,13,10,Romeo,62,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10 https://t.co/Qh5aEkRQm9,22052,3456,7437148,10,Twitter for iPhone,Original tweet,https://t.co/Qh5aEkRQm9,https://pbs.twimg.com/media/DDXmPrbWAAEKMvy.jpg,basset
50,879492040517615616,2017-06-27 00:10:17 +0000,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10,12,10,Bailey,64,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10 https://t.co/IxM9IMKQq8,23127,3147,7437148,10,Twitter for iPhone,Original tweet,https://t.co/IxM9IMKQq8,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,german short-haired pointer
51,879415818425184262,2017-06-26 19:07:24 +0000,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici),13,10,Duddles,65,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici) https://t.co/UDT7ZkcTgY,104590,43708,7437148,10,Twitter for iPhone,Original tweet,https://t.co/UDT7ZkcTgY,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,english springer
52,879008229531029506,2017-06-25 16:07:47 +0000,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs,13,10,Beau,69,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs https://t.co/YDtpCjIPKN,18750,2666,7437148,10,Twitter for iPhone,Original tweet,https://t.co/YDtpCjIPKN,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,vizsla
53,878776093423087618,2017-06-25 00:45:22 +0000,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth,13,10,Snoopy,70,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back… https://t.co/0Uxl9Gq7hN,19182,4082,7437148,10,Twitter for iPhone,Original tweet,https://t.co/0Uxl9Gq7hN,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,italian greyhound
55,878057613040115712,2017-06-23 01:10:23 +0000,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved,14,10,Emmy,75,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved https://t.co/cwtWnHMVpe,41536,6752,7437148,10,Twitter for iPhone,Original tweet,https://t.co/cwtWnHMVpe,https://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,french bulldog
56,877736472329191424,2017-06-22 03:54:17 +0000,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again,13,10,Aja,76,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again https://t.co/lsPyyAiF1r,78870,18887,7437148,10,Twitter for iPhone,Original tweet,https://t.co/lsPyyAiF1r,https://pbs.twimg.com/media/DC5YqoQW0AArOLH.jpg,chesapeake bay retriever
57,877556246731214848,2017-06-21 15:58:08 +0000,This is Penny. She's both pupset and fired pup. Not pleased w your barbaric attempts at cleanliness. 12/10 would enjoy more shampoo options,12,10,Penny,78,This is Penny. She's both pupset and fired pup. Not pleased w your barbaric attempts at cleanliness. 12/10 would en… https://t.co/rc53DmRHwK,22447,3772,7437148,10,Twitter for iPhone,Original tweet,https://t.co/rc53DmRHwK,https://pbs.twimg.com/media/DC20wEcW0AAf59m.jpg,basset
59,877201837425926144,2017-06-20 16:29:50 +0000,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congratulatory boop,12,10,Nelly,80,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congra… https://t.co/kVwm88J6Yr,26802,5528,7437148,10,Twitter for iPhone,Original tweet,https://t.co/kVwm88J6Yr,https://pbs.twimg.com/media/DCxyahJWsAAddSC.jpg,pembroke
60,876838120628539392,2017-06-19 16:24:33 +0000,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately,12,10,Ginger,81,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug pa… https://t.co/zuDk9mBEMO,20429,3312,7437148,10,Twitter for iPhone,Original tweet,https://t.co/zuDk9mBEMO,https://pbs.twimg.com/media/DCsnnZsVwAEfkyi.jpg,bloodhound
61,876484053909872640,2017-06-18 16:57:37 +0000,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy,13,10,Benedict,83,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super du… https://t.co/ccBFQU5UWO,18544,2378,7437148,10,Twitter for iPhone,Original tweet,https://t.co/ccBFQU5UWO,https://pbs.twimg.com/media/DCnll_dUQAAkBdG.jpg,golden retriever
63,875747767867523072,2017-06-16 16:11:53 +0000,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal your girl",13,10,Goose,85,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal… https://t.co/XRwtpQiJ15",24904,4259,7437148,10,Twitter for iPhone,Original tweet,https://t.co/XRwtpQiJ15,https://pbs.twimg.com/media/DCdH8YpUQAAiEbL.jpg,labrador retriever
67,874296783580663808,2017-06-12 16:06:11 +0000,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract,13,10,Jed,91,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract https://t.co/0YplNnSMEm,25784,4083,7437148,10,Twitter for iPhone,Original tweet,https://t.co/0YplNnSMEm,https://pbs.twimg.com/media/DCIgSR0XgAANEOY.jpg,cocker spaniel
69,874012996292530176,2017-06-11 21:18:31 +0000,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #PrideMonth puppo",13,10,Sebastian,93,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy.… https://t.co/jonYjPNmYx",34254,10360,7437148,10,Twitter for iPhone,Original tweet,https://t.co/jonYjPNmYx,https://pbs.twimg.com/media/DCEeLxjXsAAvNSM.jpg,cardigan
71,873213775632977920,2017-06-09 16:22:42 +0000,"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

https://t.co/Xp01EU3qyD",12,10,Sierra,96,This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below… https://t.co/CWPYZJvjrI,7168,1580,7437148,10,Twitter for iPhone,Original tweet,https://t.co/CWPYZJvjrI,https://pbs.twimg.com/media/DB5HTBGXUAE0TiK.jpg,vizsla
74,872620804844003328,2017-06-08 01:06:27 +0000,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana. 13/10 love is love is love...,13,10,Monkey,99,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana. 13/10 love is love is love... https://t.co/lUcpnZDPz9,20602,3687,7437148,10,Twitter for iPhone,Original tweet,https://t.co/lUcpnZDPz9,https://pbs.twimg.com/media/DBwr_hzXkAEnZBW.jpg,cocker spaniel
76,872261713294495745,2017-06-07 01:19:32 +0000,This is Harry. His ears are activated one at a time. Incredibly rare to witness in person. Very special moment here. 13/10 blessed as h*ck,13,10,Harry,101,This is Harry. His ears are activated one at a time. Incredibly rare to witness in person. Very special moment here… https://t.co/iZPEmIPLLY,33925,6302,7437148,10,Twitter for iPhone,Original tweet,https://t.co/iZPEmIPLLY,https://pbs.twimg.com/media/DBrlZk2UQAAfAkd.jpg,labrador retriever
78,871762521631449091,2017-06-05 16:15:56 +0000,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. 12/10,12,10,Rover,104,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs p… https://t.co/NxsjNYcUBx,20126,3470,7437148,10,Twitter for iPhone,Original tweet,https://t.co/NxsjNYcUBx,https://pbs.twimg.com/media/DBkfY58XcAEdzZy.jpg,labrador retriever
79,871515927908634625,2017-06-04 23:56:03 +0000,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo,12,10,Napolean,105,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good wit… https://t.co/1HZLp9TE6u,20080,3448,7437148,10,Twitter for iPhone,Original tweet,https://t.co/1HZLp9TE6u,https://pbs.twimg.com/media/DBg_HT9WAAEeIMM.jpg,komondor
80,871032628920680449,2017-06-03 15:55:36 +0000,"This is Boomer. He's doing an advanced water takeoff. The opposite of Sully. Ears for control, mlem for style. 13/10 simply breathtaking",13,10,Boomer,108,"This is Boomer. He's doing an advanced water takeoff. The opposite of Sully. Ears for control, mlem for style. 13/1… https://t.co/ESmXMT4AxF",22523,3817,7437148,10,Twitter for iPhone,Original tweet,https://t.co/ESmXMT4AxF,https://pbs.twimg.com/media/DBaHi3YXgAE6knM.jpg,kelpie
81,870656317836468226,2017-06-02 15:00:16 +0000,"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 13/10

Help Cody here: https://t.co/4hxnDOt1CV",13,10,Cody,111,"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 13/10

Help Cody here:… https://t.co/EHTUbra0oP",12346,2652,7437149,10,Twitter for iPhone,Original tweet,https://t.co/EHTUbra0oP,https://pbs.twimg.com/media/DBUxSSTXsAA-Jn1.jpg,pembroke
82,870374049280663552,2017-06-01 20:18:38 +0000,This is Zoey. She really likes the planet. Would hate to see willful ignorance and the denial of fairly elemental science destroy it. 13/10,13,10,Zoey,112,This is Zoey. She really likes the planet. Would hate to see willful ignorance and the denial of fairly elemental s… https://t.co/6SWu4xkvDk,82313,26274,7437149,10,Twitter for iPhone,Original tweet,https://t.co/6SWu4xkvDk,https://pbs.twimg.com/media/DBQwlFCXkAACSkI.jpg,golden retriever
83,870308999962521604,2017-06-01 16:00:09 +0000,"This is Rumble, but he's not ready to. Would rather fall asleep in his bath bucket. 13/10 would attempt a boop without waking",13,10,Rumble,113,"This is Rumble, but he's not ready to. Would rather fall asleep in his bath bucket. 13/10 would attempt a boop with… https://t.co/LR0TT56LvT",21735,4163,7437149,10,Twitter for iPhone,Original tweet,https://t.co/LR0TT56LvT,https://pbs.twimg.com/media/DBP1asiUAAEKZI5.jpg,greater swiss mountain dog
84,869772420881756160,2017-05-31 04:27:59 +0000,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk. 13/10 would snug softly",13,10,Dewey,115,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk. 13/10 would snug softly https://t.co/HciEaJkC4D",42270,10069,7437149,10,Twitter for iPhone,Original tweet,https://t.co/HciEaJkC4D,https://pbs.twimg.com/media/DBINZcxXgAQ-R6P.jpg,pembroke
86,869596645499047938,2017-05-30 16:49:31 +0000,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for,12,10,Scout,117,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 1… https://t.co/8UTtgmsPdl,15932,3142,7437149,10,Twitter for iPhone,Original tweet,https://t.co/8UTtgmsPdl,https://pbs.twimg.com/media/DBFtiYqWAAAsjj1.jpg,chihuahua
87,869227993411051520,2017-05-29 16:24:37 +0000,This is Gizmo. His favorite thing is standing pupright like a hooman. Sneaky tongue slip status achieved. 13/10 would boop well,13,10,Gizmo,118,This is Gizmo. His favorite thing is standing pupright like a hooman. Sneaky tongue slip status achieved. 13/10 wou… https://t.co/2lERR4Uoyt,20377,3803,7437149,10,Twitter for iPhone,Original tweet,https://t.co/2lERR4Uoyt,https://pbs.twimg.com/media/DBAePiVXcAAqHSR.jpg,pembroke
